node_id,split,dialog_id,turn_id,text,shift_label
56,train,4,12,that is cool . how did you get a turtle ?,0
57,train,4,13,my best friend got it for me . he lives across he street,0
58,train,4,14,that was sweet of him . do you like music ?,1
59,train,4,15,i like what barney sings !,0
60,train,4,16,"you may not know them , but the who is a great band !",0
61,train,4,17,daddy listens to them all the time !,0
62,train,5,0,hi . i do not like working as a car salesman .,-1
63,train,5,1,i recently broke my arm so i am not working,1
64,train,5,2,what happened ? it is hard to do anything with a broken arm .,0
65,train,5,3,i blame my skateboarding friends,0
66,train,5,4,do you think 40 is too old to go back to school ?,1
67,train,5,5,"yes , you should retire and learn to knit",0
68,train,5,6,no money . once i get paid my wife goes shopping . never get married .,1
69,train,5,7,"good advise , thank you for that",0
70,train,5,8,where do you work ?,1
71,train,5,9,i try to avoid working at all,0
72,train,5,10,it is hard for me . i do not like telling people to buy something .,0
73,train,5,11,i just want to live free,1
74,train,5,12,nothing is free . unless you win the lottery .,0
75,train,5,13,it could happen one day,0
76,train,5,14,are you married or are you at home with your parents ?,1
77,train,5,15,anything is possible right ?,0
78,train,6,0,"hi , i am taking a break from studying my computer programming",-1
79,train,6,1,"what is computer programming , i am new to the united states .",0
80,train,6,2,i am from india so i understand . it is telling computers how to run programs,0
81,train,6,3,"cool , i was born in somalia , but my aunt helped me escape .",1
82,train,6,4,that was nice of her ! my aunt taught me how to swim,0
83,train,6,5,"i had to get away , i was forced to marry young , but now i am happy",0
84,train,6,6,did you take your spouse with you ?,0
85,train,6,7,"no , i had to escape him . it was not fun times .",0
86,train,6,8,i am sorry . i am glad you are safe now,0
87,train,6,9,"thank you , do you do anything in your free time ?",1
88,train,6,10,i love death metal music . i listen and write some too .,0
89,train,6,11,"death metal , is that the music you get whip lash from ?",0
90,train,6,12,yeah ! i also coach competitive swimming .,1
91,train,6,13,swimming is fun ! have you met any olympians ?,0
92,train,7,0,hi there how are you tonight ?,-1
93,train,7,1,i am tired from milking the cows .,0
94,train,7,2,well i know i am strong for a 100 but i do not think i can do that,0
95,train,7,3,100 ? ! that is older then my dad ! would you make your son milk cows ?,0
96,train,7,4,yea because i sure cant do it,0
97,train,7,5,i would rather be coloring in my books ! do you like sports ?,1
98,train,7,6,yes i have love baseball all my life,0
99,train,7,7,i like to watch hockey with my dad . do you have any kids ?,1
100,train,7,8,yes 8 kids 24 grandkids and counting,0
101,train,7,9,wow ! i can not even count that high ! i have a pet though . do you ?,1
102,train,7,10,no but i should i heard they are great companions,0
103,train,7,11,dad got me a german sheperd to help on the farm . where do you live ?,1
104,train,7,12,in california but i want to move to france,0
105,train,7,13,france is a long ways away ! will you drive there ?,0
106,train,7,14,no way i would die on the way il fly there,0
107,train,7,15,"do they let people as old as you on planes , mister ?",1
108,train,8,0,what do you do in your spare time ?,-1
109,train,8,1,"i recently quit my job , moved in to monastery to pursue my spirituality .",0
110,train,8,2,that is incredibly brilliant . congratulations,0
111,train,8,3,"i appreciate that . are you a spiritual person , may i ask ?",0
112,train,8,4,yes i am actually . i became very close to god after surviving cancer,0
113,train,8,5,you are amazing . thank you for sharing .,0
114,train,8,6,you are as well . an inspiration . i must remember you when training my clients,0
115,train,8,7,what is it that you do ?,0
116,train,8,8,i actually just started as a life coach,0
117,train,8,9,peace be with you as you embark on your new journey,0
118,train,8,10,thank you . that means a lot to me,0
119,train,8,11,"live in he wilderness of alaska now , we do not have many life coaches here .",1
120,train,8,12,it is very much needed . people need guidance,0
121,train,8,13,i agree fully . do you believe in meditation ? my meditation time has brought me much peace,1
122,train,8,14,i meditate right before i run a big marathon and it helps me keep my stamina .,0
123,train,8,15,"good for you ! i have never ran a marathon , but i certainly admire your determination !",0
124,train,9,0,hello how are you this fine day ?,-1
125,train,9,1,i am good ! counting the days till i can move out . and you ?,0
126,train,9,2,"i am playing some role playing games online today . i love the internet , probably too much !",0
127,train,9,3,my job at burger king is taking away all of my video game time .,0
128,train,9,4,i work in fast food also .,0
129,train,9,5,my coworkers are always complaining i burn the burgers . you are not my parents !,0
130,train,9,6,i tried to go to school to be a vet . i hated it !,0
131,train,9,7,do you drink or do drugs ?,1
132,train,9,8,i do not . do you dye your hair ? i do every 3 months .,1
133,train,9,9,"ok good . but why dye your hair ? that is , like , drugs for your hair .",0
134,train,9,10,i love to dye it blue . red reminds me of blood and i faint from that !,0
135,train,9,11,blue ! ? blue ! ? i hate blue ! ree ! ! !,0
136,train,9,12,what color should i dye it ?,0
137,train,9,13,"black , like my soul . i am very depressed from working at burger king .",0
138,train,9,14,that is deep . i could do black . my natural hair color is blond .,0
139,train,9,15,blond is perfectly fine . you should just keep it like that .,0
140,train,10,0,"hello , how are you doing today ?",-1
141,train,10,1,okay . i go to school . i like disney world .,1
142,train,10,2,oh i love disney world . it has a beach nearby and i love the beach .,0
143,train,10,3,do you like playing on the swings at the playground ?,1
144,train,10,4,i normally do not go to the playgrounds much anymore . how old are you ?,1
145,train,10,5,i am nine years old . how old are you ?,0
146,train,10,6,oh ! i am 27 years old . i am also an elementary school teacher .,0
147,train,10,7,what grade do you teach ? i am in third . do you like mickey mouse ?,1
148,train,10,8,i teach 4th grade . i love mickey mouse . i decorate my classroom with him,0
149,train,10,9,i bet you would love disney world . do you ever go ?,0
150,train,10,10,someday i would like to . i am saving up . have you ever been ?,0
151,train,10,11,every year . i am lucky . would you like to go with me ?,0
152,train,10,12,oh that is a sweet offer . you have to ask your parents first !,0
153,train,10,13,my dad will take you . he has lot of money . where are your vacations ?,0
154,train,10,14,i do not take many . i play board games mostly . . . teachers do not make much money,0
155,train,10,15,i will ask my dad . do you play video games ? i like them .,1
156,train,11,0,hello ! how are you doing today ?,-1
157,train,11,1,hi . i am doing great . thanks for asking . and you ?,0
158,train,11,2,i am doing great ! i am just building a model house,0
159,train,11,3,cool . i volunteer at various places at the moment,0
160,train,11,4,"that is nice , what places ?",0
161,train,11,5,"church , high school tutoring , publishing houses",0
162,train,11,6,i work part time because i cant leave my cats alone long,1
163,train,11,7,wow . how many cats do you have ?,0
164,train,11,8,i have a total of 5 cats,0
165,train,11,9,nice . what do you think of someone growing up poor ?,1
166,train,11,10,i honestly think it makes them a better person,0
167,train,11,11,well i asked because i grew up poor during several periods,0
168,train,11,12,i am sorry to hear . at least your living !,0
169,train,11,13,"yes , it is well . enough about me . how about your favorite past times ?",1
170,train,11,14,i just like to spend time with my cats,0
171,train,11,15,ok . what about favorite foods ? cheeseburgers ?,1
172,train,12,0,"hey , what are you planning for today ?",-1
173,train,12,1,"oh not much , my name is heather and just looking to chat with people",0
174,train,12,2,"i like chatting too , it is how i got homecoming queen talking to everyone",0
175,train,12,3,what is your name and do you have any hobbies ?,1
176,train,12,4,"kris , i run , training to run a k , how about yourself any hobbies ?",0
177,train,12,5,"ha , ha that is funny my husband was homecoming king in high school",1
178,train,12,6,how long are you married ? did you go to college ?,1
179,train,12,7,i like books . not much time now that i am going to have a baby,1
180,train,12,8,"oh congrats ! i read a lot need , the a hope to be a physical therapist",0
181,train,12,9,"i got my degree from college , i have been married for 3 years",0
182,train,12,10,"cool , i want so badly to finish high school and go to college",0
183,train,12,11,so how old are you kris ?,1
184,train,12,12,"17 , but feels older . how about you ?",0
185,train,12,13,do not be so eager to grow up its not as fun as you may think,0
186,train,12,14,i know but you get to make your own decisions,0
187,train,12,15,i am 27 and wish i was 17 again ha ha,0
188,train,13,0,hey ! how are you doing today ?,-1
189,train,13,1,hi ! doing great . where are you from ?,0
190,train,13,2,i am from the south in the us . what about you ?,0
191,train,13,3,i live in hawaii and i work from home .,0
192,train,13,4,beautiful place . i have a dog walking business . do you have pets ?,1
193,train,13,5,it is . i love it here . i have 2 dogs they love it here too .,0
194,train,13,6,good to talk to a fellow dog lover ! we have three .,0
195,train,13,7,awesome ! will you dress them up for halloween ?,1
196,train,13,8,"yeah , we will go all out this year ! do you have any plans ?",0
197,train,13,9,we are gonna watch a bunch of horror movies . have you seen the new it ?,0
198,train,13,10,"have not gotten the chance , maybe this week . you a big horror movie buff ?",0
199,train,13,11,horror movies are my favorite !,0
200,train,13,12,perfect time of the year for them !,0
201,train,13,13,"my thoughts exactly . nice chatting , have a great day !",0
202,train,14,0,what do you do for work ?,-1
203,train,14,1,"i am a school teacher , who about you ?",0
204,train,14,2,i work on my parents farm,0
205,train,14,3,i bet that is hard work,0
206,train,14,4,"it is , but its a lifestyle",0
207,train,14,5,true do you have any hobbies outside of the farm ?,1
208,train,14,6,"i love listening to country music , its the best genre",0
209,train,14,7,i love photography and foreign language,0
210,train,14,8,those sound like fun hobbies,0
211,train,14,9,they are very simple but enjoyable,0
212,train,14,10,do you have any pets ?,1
213,train,14,11,"unfortunately no , do you have any ?",0
214,train,14,12,"yes , a cow . it seems strange , but they are the best pets !",0
215,train,14,13,now that is unusual but interesting .,0
216,train,15,0,hi how are you today,-1
217,train,15,1,i am doing well how about you ?,0
218,train,15,2,doing good just waiting on the baby birth,0
219,train,15,3,aww congratulations . it must be exciting .,0
220,train,15,4,we are having triplets so very excited,0
221,train,15,5,ow wow now that will be hard task,0
222,train,15,6,yeah do you have kids ?,0
223,train,15,7,no i sadly do not . i never been one to hold a steady relationship,0
224,train,15,8,i just got remarried with step children,0
225,train,15,9,and now you are having triplets . now that will be a huge family,0
226,train,15,10,and i work at a school so kids everywhere,1
227,train,15,11,are you a teacher ? or work in administration ?,0
228,train,15,12,i am a teacher where do you work ?,0
229,train,15,13,i am self employed . what subject do you teach,0
230,train,15,14,i teach early childhood,0
231,train,15,15,that is cool . my mother is actually the chair of and education department,0
232,train,16,0,hello . how is it going today ?,-1
233,train,16,1,"good , studying the lsat today . how about you ?",0
234,train,16,2,i am good . i have a big home library if you are interested .,0
235,train,16,3,really ? i am wanting to be an attorney . where are you from,1
236,train,16,4,new mexico . i am a tour guide at a local museum there .,0
237,train,16,5,i used to live in nm ! i lived in a small town outside abq .,0
238,train,16,6,cool . i love living here . i am partially deaf and people are understanding .,0
239,train,16,7,"they are . we had horses , do you ride ?",1
240,train,16,8,no . i prefer to hang out in the mall . i love drinking fancy tea .,1
241,train,16,9,"tea i am more of a coffee gal , have to study late .",0
242,train,16,10,"that makes sense . soon you will be a lawyer , right ?",0
243,train,16,11,"i hope , have to get good scores first . how is your museum ?",1
244,train,16,12,it is a small one but we get quite a lot of visitors because entrance is free .,0
245,train,16,13,"neat . i grew up with horses , is there anything about horses there ?",0
246,train,17,0,hi . do you like country music ?,-1
247,train,17,1,it is ok . i prefer rock,0
248,train,17,2,i am a country singer . i wish i was a rock singer though .,0
249,train,17,3,that is cool . are you famous ?,0
250,train,17,4,"yes , but due to my record contract , i cannot tell you my name . are you famous ?",0
251,train,17,5,only at my high school . i just won homecoming queen actually,0
252,train,17,6,congratulations . i did not go to school because of my musical career . is your crown nice ?,0
253,train,17,7,it is gorgeous ! what do you do for fun ?,1
254,train,17,8,go to national parks . think about what i missed out on in high school . you ?,0
255,train,17,9,i run all the time . i want to run a 10k one day .,0
256,train,17,10,i believe in you . are you on the track team ?,0
257,train,17,11,yes i am . but i want to be a physical therapist when i am an adult,0
258,train,17,12,i want to be a rock singer .,0
259,train,17,13,you should go for it !,0
260,train,18,0,hello ! how are you doing today ?,-1
261,train,18,1,i am great . third grade is tiring though even though i do not have any responsibilities .,0
262,train,18,2,"funny . well , beats being alone , recluse that i am .",1
263,train,18,3,i am hermit . i am like mickey mouse without disney land .,0
264,train,18,4,oh . like me . i do not go out much because of my water allergy,0
265,train,18,5,so i guess your name is not neptune .,0
266,train,18,6,no . adam . i am famous for my twitch streaming .,1
267,train,18,7,i do not video games because i am always at the playground with all my classmates,1
268,train,18,8,it is fun ! i helped make starcraft . have you played it ?,1
269,train,18,9,no . i have played halo it is fun .,0
270,train,18,10,indeed . now i am into building robots now though .,1
271,train,18,11,robots may take over the world,0
272,train,18,12,sure . i am building one to be my body double . is that not fun ?,0
273,train,18,13,i wish there was two of me so i could be double trouble .,0
274,train,19,0,how are you doing today,-1
275,train,19,1,"i am good ! grading papers all day , you ?",0
276,train,19,2,i am alright just recording,0
277,train,19,3,what are you recording ? that sounds interesting .,0
278,train,19,4,music in my studio my kids like it,0
279,train,19,5,do you like the band up ? i saw them once .,0
280,train,19,6,i used to . i am into newer stuff now,0
281,train,19,7,i cannot wait to go to the beach on vaca this year .,0
282,train,19,8,have you been there before,0
283,train,19,9,i try to go every year with my parents . they were teachers too .,0
284,train,19,10,all in the family career wise nice,0
285,train,19,11,"yeah , i followed in their footsteps .",0
286,train,19,12,you must have a lot to talk to them about,0
287,train,19,13,sometimes . the little kids i teach always make or a good story .,0
288,train,19,14,i am sure that they do,0
289,train,19,15,what else do you enjoy ?,1
290,train,20,0,good evening from alabama ! where are you at ?,-1
291,train,20,1,"hi , i am in nevada . i am listening to country music .",0
292,train,20,2,"tacos are my favorite , do you have any great food trucks there ?",1
293,train,20,3,"yes we do , i am a store manager and we sell really good tacos .",0
294,train,20,4,"my three sisters would love that . my brother , not so much .",0
295,train,20,5,taylor swift walked into my store the other day ! it was awesome !,1
296,train,20,6,i am not fond of her . i think i would have escaped .,0
297,train,20,7,really ? i cut my hair like hers short and brown .,0
298,train,20,8,i prefer metal . i do not like country at all .,0
299,train,20,9,"i like metal too but the old school , like lyda ford .",0
300,train,20,10,i love her and ozzy in close your eyes . it is one of my favorites .,0
301,train,20,11,oh man you hit the spot ! i play it loud in my nissan pathfinder .,1
302,train,20,12,i drive a jeep wrangler . i mix it up with tupac .,0
303,train,20,13,california knows how to party !,0
304,train,20,14,"true that ! somewhere between psalms 31 and tupac is me , lol",0
305,train,20,15,i am more like john 316 and cypress hill .,0
306,train,21,0,"hello , how are you doing this afternoon ? do you like metal music ?",-1
307,train,21,1,i am good and no i like country,0
308,train,21,2,"i love america , i have only been here two years , i am from india .",1
309,train,21,3,cool ! i have not traveled much since my transplant,0
310,train,21,4,"i am sorry , are you okay ?",0
311,train,21,5,"i am yes , when i was born my heart was on the outside",0
312,train,21,6,what was that like ? i am a boring computer student .,0
313,train,21,7,it was crazy growing up i could not play like most boys,0
314,train,21,8,that is so sad . i loved my childhood playing with my friends .,0
315,train,21,9,"i bet , i learned to do magic like moving things with my mind",0
316,train,21,10,"that is very interesting , can you swim ?",1
317,train,21,11,yes i enjoy swimming a lot,0
318,train,21,12,"i am a coach , if you need to brush up on your skills , let me know .",0
319,train,21,13,"thank you for the offer , i could use some pointers",0
320,train,21,14,you are most welcome . we all must do our part to make the world better .,0
321,train,21,15,i agree with you ! i like helping at animal shelters,0
322,train,22,0,"i love to play guitar , i was only three when i started",-1
323,train,22,1,my parents were killed by a clown when i was three . i was then adopted,0
324,train,22,2,"hi , how are you ? do you like country music ? i am a singer .",1
325,train,22,3,it is alright . i am more of a pop fan myself,0
326,train,22,4,"sad , i am sorry , did they every caught the clown ?",0
327,train,22,5,no . now i get scared whenever i see one,0
328,train,22,6,"lets be happy and not think about that , i love national parks",0
329,train,22,7,i recently got a job ! now i work at a gas station,0
330,train,22,8,do you like rascal flats ? they are my favorite band .,1
331,train,22,9,not really . but my adopted dad likes them,0
332,train,22,10,now that is something happy to talk about ! i work in the industry,0
333,train,22,11,what industry do you work in ?,0
334,train,22,12,"okay , so tell me more about yourself",1
335,train,22,13,i am single . though my dad keeps setting me up on blind dates,0
336,train,22,14,"in the factory , that is what i mean",0
337,train,22,15,cool . what do you make ?,0
338,train,23,0,i am addicted to the internet that is why i want to work from home,-1
339,train,23,1,i love the internet it makes me think i can over take the world,0
340,train,23,2,it is a dream to work from home and play role play games,0
341,train,23,3,yes i use to paint for job . but now i am a maid or housekeeper,0
342,train,23,4,"i know how you feel , i do not like being a veterinarian",0
343,train,23,5,at 56 i am looking forward to retirement,0
344,train,23,6,do you see blood as a maid ? it makes me faint .,0
345,train,23,7,i see just about everything no blood though .,0
346,train,23,8,"you are too young to retire , what you going to do ?",0
347,train,23,9,i may visit my grown children since they never visit me .,0
348,train,23,10,"that is so good to know , it really scares me",1
349,train,23,11,as a older woman i wish i could have plastic surgery .,1
350,train,23,12,"it is good that you visit them , you do your part",1
351,train,23,13,i use to be wrinkle free but the years of time are not kind,1
352,train,23,14,why is that ? natural is beauty .,0
353,train,23,15,yes but it is hard to look at sagging skin and eyes,0
354,train,24,0,do you want to hear something strange ?,-1
355,train,24,1,sure ! i would love to ! what is it ?,0
356,train,24,2,i am due to have my fifth set of twins in two months !,0
357,train,24,3,wow . my boyfriend would go crazy . we just moved into a house .,1
358,train,24,4,we just bought our first home . we were living in a two bedroom apartment before .,0
359,train,24,5,nice . i enjoy taking walks around my neighbor hood .,0
360,train,24,6,i wish i had time for walks . my job at the bank keeps me busy .,0
361,train,24,7,yeah . i get busy too . all i ever eat is hamburgers and french fries,1
362,train,24,8,oh my ! that is a poor diet .,0
363,train,24,9,yah bi i never drink any soda . i do not like it,0
364,train,24,10,well that is good . i have not had soda since before i got pregnant .,0
365,train,24,11,oh ok . good for you then !,0
366,train,24,12,we should go on a walk together sometime .,1
367,train,24,13,sure ! i would love that !,0
368,train,25,0,what do you like to do in your free time ?,-1
369,train,25,1,"hi ! well , i usually like to take care of my looks hair , nail , tanning .",0
370,train,25,2,what do you do as a profession ?,1
371,train,25,3,"i do not have one yet , i am thinking about college . what about you ?",0
372,train,25,4,"ah , i see . well , i have two jobs , but my side job is the interesting one .",0
373,train,25,5,tell me about the interesting one . what is it like ?,0
374,train,25,6,i am an actor of sorts . . . a stunt double ! it is really interesting work .,0
375,train,25,7,"wow , i have never met an actor ! you must be very fit .",0
376,train,25,8,"surprisingly enough , too , i have never broken a bone . tell me something else about yourself .",1
377,train,25,9,"well , i seem to always be on a diet . . . even though i love food . . .",0
378,train,25,10,could you tell me more about that ?,0
379,train,25,11,i want to look my best . exercising alone does not seem to cut it .,0
380,train,25,12,i guess that does make sense . do you like to read ?,1
381,train,25,13,"not really . school was so boring , and they forced us to read boring stuff .",0
382,train,25,14,"reading was boring to me in school , too . but i read lots now .",0
383,train,25,15,what do you read ? my sister says fantasy novels are the best .,0
384,train,26,0,good evening . what are you up to ?,-1
385,train,26,1,"hello , how are you ? i am well . i like to shop for shoes and watches .",0
386,train,26,2,i do not shop much . prefer to relax at home with my cow .,0
387,train,26,3,what do you do ? i am work for a watch dealer .,1
388,train,26,4,no wonder you like watches ! i am a commercial electrician,0
389,train,26,5,"wonderful ! yeah , however , my family does not support my choice of career .",0
390,train,26,6,why not ? family is important .,0
391,train,26,7,i am not sure why they do not . do you like cars ?,1
392,train,26,8,i do ! i love trucks especially . i drive a big f 250,0
393,train,26,9,lovely truck ! i dream of owning a rolls royce ghost one day .,0
394,train,26,10,that would be lovely . do you like music too ? or just cars ?,1
395,train,26,11,i enjoy both . i like all kinds of music .,0
396,train,26,12,i only like country . play it all day on the farm .,0
397,train,26,13,there are some great country music songs out at the moment . i prefer old stuff .,0
398,train,26,14,i feel you . do you have any other hobbies ?,1
399,train,26,15,i mostly just take care of my children . nice meeting you . goodnight .,0
400,train,27,0,hey there buddy boy boyo,-1
401,train,27,1,"hello , you have any hobbies ?",0
402,train,27,2,i can listen to britney spears all day,0
403,train,27,3,awesome i like listening to it while i play tennis .,0
404,train,27,4,i love to spend money that i did not earn,1
405,train,27,5,"oh , i see that a lot in my insurance office .",0
406,train,27,6,what do you do for a living ?,0
407,train,27,7,since i was fired i found a job in insurance .,0
408,train,27,8,what is the pay like ?,0
409,train,27,9,"it is ok , but my dad made a ton before he passed away .",0
410,train,27,10,i am sorry . at least he is in a better place now .,0
411,train,27,11,"it is ok , i was pretty young when it happened .",0
412,train,27,12,do you like to tan ?,1
413,train,27,13,i normally get tanned from playing softball which i love .,0
414,train,27,14,i am too lazy to play sports,0
415,train,27,15,"oh , deal i love playing sports .",0
416,train,28,0,"hi there , i am bob .",-1
417,train,28,1,hi there . how are you tonight ?,0
418,train,28,2,i am amazing as always .,0
419,train,28,3,you like skiing ? i love skiing . i love anything to with winter actually .,0
420,train,28,4,i spend so much money,1
421,train,28,5,i spend my extra money on hats . what do you buy ?,0
422,train,28,6,britney spears and her old clothing,0
423,train,28,7,i own over 1000 hats . how much britney do you own ?,0
424,train,28,8,i buy her sweaty clothes,0
425,train,28,9,do you protect them ? my cats would have a ball tearing that up .,0
426,train,28,10,"ha , well , that would be fun to watch",0
427,train,28,11,so what is your greatest weakness ? mine is vanilla ice cream .,1
428,train,28,12,i think it is chocolate waffles,0
429,train,28,13,chocolate waffles with vanilla ice cream ! yum ! !,0
430,train,28,14,i am on a diet,0
431,train,28,15,i got over diets after the olympics .,0
432,train,29,0,"hey , my name is cory and i have 3 dogs and own a dog walking business .",-1
433,train,29,1,"hello , my name if bebe a mom of 4",0
434,train,29,2,"hello , bebe do you like to watch the olympics ?",1
435,train,29,3,yes every now and then .,0
436,train,29,4,which olympic sports do you like to watch ?,0
437,train,29,5,i love watching baseball or american football,0
438,train,29,6,"cool , tell me a little about yourself ?",1
439,train,29,7,i am a african american woman the age of 30,0
440,train,29,8,"awesome , i am a white dude in an open relationship .",0
441,train,29,9,so when you say open meaning exactly what ?,0
442,train,29,10,polyamorous meaning me and my boyfriend do stuff with more than one person .,0
443,train,29,11,oh okay so are you bisexual or completely gay ?,0
444,train,29,12,i am completely gay and my boyfriend is bisexual .,0
445,train,29,13,oh okay well that is good you open about it some people are not,0
446,train,29,14,"yeah , i am very open minded its whatever makes the person happy .",0
447,train,29,15,that is apart of being true to yourself,0
448,train,30,0,"hello from trooper and i . we are in colorado , he is a lab .",-1
449,train,30,1,hello ! i am addicted to the internet and play roleplaying games all day,0
450,train,30,2,i hike and rock climb . getting out of the house is important to me .,0
451,train,30,3,really ? because working from home is my dream,0
452,train,30,4,i have a home office . i went to school for mechanical engineering .,1
453,train,30,5,i did go to school to be a vet but i did not like it,0
454,train,30,6,i would like that . i love animals .,0
455,train,30,7,"yeah , my hair is purple because i dye it every 3 months",1
456,train,30,8,"mine is red , i do not dye mine .",0
457,train,30,9,"interesting ! speaking of red , when i see blood i faint",1
458,train,30,10,not me . i am cool in a crisis .,0
459,train,30,11,"lucky man , i hope to be someday",0
460,train,30,12,"i am a girl . we are engineers too , lol",1
461,train,30,13,of course ! girls are just as smart !,0
462,train,30,14,that we are . we are princesses and superheros .,0
463,train,30,15,absolutely ! could not agree more !,0
464,train,31,0,hi ! do you like horses ? i love horses !,-1
465,train,31,1,horses are great i am george i farm bees,1
466,train,31,2,so you must live in the country then ? i grew up in a small town .,0
467,train,31,3,i did bu i am not close to my family,1
468,train,31,4,oh . i actually am wanting to be a lawyer . working now to save up money for school,1
469,train,31,5,my wife is a model . i met her in italy . she wants to be a lawyer too .,0
470,train,31,6,has she started school yet ? i am not married yet . focusing on trying to get my education .,0
471,train,31,7,no not yet she studies for the lsat . what is your favorite food ? mine is papaya,1
472,train,31,8,"i have never had papaya ! i love potatoes . mashed , fried , boiled , just love them",0
473,train,31,9,single irish lawyer . nice . anything else on your mind ?,1
474,train,31,10,just cannot wait to get out of this small town and move to a bigger city .,0
475,train,31,11,good luck with moving and your studies,0
476,train,31,12,"good luck with the bees , and good luck to your wife on the lawyer deal",0
477,train,31,13,thanks just livin the dream of a humble bee keeping celebrity husband,0
478,train,31,14,lol . how is it being the husband of a model ? ?,1
479,train,31,15,my wife is an italian super model,0
480,train,32,0,i spend my extra time dancing,-1
481,train,32,1,i am not good at dancing too big and clumsy . i can pet the bunnies though .,1
482,train,32,2,i was raised in somalia but now living in u . s .,1
483,train,32,3,i have a job in the shipyard when i am not volunteering to pet the bunnies .,1
484,train,32,4,do you have an aunt,1
485,train,32,5,nope . did yours save you when you were forced to marry someone ?,0
486,train,32,6,no no huh my aunt help get me to the u . s .,0
487,train,32,7,i donate my money from the shipyard to the bunny rescue . they let me pet the bunnies .,1
488,train,32,8,all my time is on dancing i love it,1
489,train,32,9,i like navy blue . it is my favorite color even though bunnies are not ever blue .,1
490,train,32,10,do ou own a bunny,1
491,train,32,11,lenny will not let me have a bunny .,0
492,train,32,12,it was nice meeting you and the bunnies,0
493,train,32,13,one day i will haves me a farm and get to tend the bunnies .,0
494,train,32,14,that would be great to have a bunny,0
495,train,32,15,yes . i will love and pet and hug them .,0
496,train,33,0,hi how are you today ?,-1
497,train,33,1,olympian gold medalist here what is up !,0
498,train,33,2,i like to play with dolls . what do you do ?,1
499,train,33,3,gymnastics for about 4 hours a day great work out .,0
500,train,33,4,my age is 4 . how old are you ?,1
501,train,33,5,great whats your favorite color ? mine is yellow,1
502,train,33,6,i really like the color red .,0
503,train,33,7,like pizza ! i like italian food oh garlic bread .,1
504,train,33,8,i hate to clean so i do not pick up my toys . do you ?,1
505,train,33,9,i do not have toys but i do workout .,0
